plume_id,bug
emi20220901t034652p03009-B,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20220901t034652p03009-B/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20220901t034652p03009-B/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20220901t034652p03009-B/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20220901t034652p03009-B/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20220901t034652p03009-B/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20220901t034652p03009-B/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20220901t034652p03009-B/s2_mask_512.tif;mask_msg=existing_512_mask
emi20240404t065336p05012-A,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20240404t065336p05012-A/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20240404t065336p05012-A/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20240404t065336p05012-A/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20240404t065336p05012-A/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20240404t065336p05012-A/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20240404t065336p05012-A/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20240404t065336p05012-A/s2_mask_512.tif;mask_msg=existing_512_mask
emi20240612t135823p09014-A,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20240612t135823p09014-A/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20240612t135823p09014-A/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20240612t135823p09014-A/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20240612t135823p09014-A/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20240612t135823p09014-A/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20240612t135823p09014-A/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20240612t135823p09014-A/s2_mask_512.tif;mask_msg=existing_512_mask
emi20240610t140044p09026-A,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20240610t140044p09026-A/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20240610t140044p09026-A/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20240610t140044p09026-A/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20240610t140044p09026-A/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20240610t140044p09026-A/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20240610t140044p09026-A/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20240610t140044p09026-A/s2_mask_512.tif;mask_msg=existing_512_mask
emi20240821t033855p03018-B,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20240821t033855p03018-B/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20240821t033855p03018-B/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20240821t033855p03018-B/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20240821t033855p03018-B/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20240821t033855p03018-B/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20240821t033855p03018-B/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20240821t033855p03018-B/s2_mask_512.tif;mask_msg=existing_512_mask
emi20240821t033855p03018-D,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20240821t033855p03018-D/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20240821t033855p03018-D/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20240821t033855p03018-D/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20240821t033855p03018-D/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20240821t033855p03018-D/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20240821t033855p03018-D/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20240821t033855p03018-D/s2_mask_512.tif;mask_msg=existing_512_mask
emi20240930t104336p07005-A,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20240930t104336p07005-A/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20240930t104336p07005-A/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20240930t104336p07005-A/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20240930t104336p07005-A/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20240930t104336p07005-A/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20240930t104336p07005-A/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20240930t104336p07005-A/s2_mask_512.tif;mask_msg=existing_512_mask
emi20241015t131953p09020-A,pos_insufficient:0/16;neg_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20241015t131953p09020-A/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20241015t131953p09020-A/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20241015t131953p09020-A/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20241015t131953p09020-A/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20241015t131953p09020-A/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20241015t131953p09020-A/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20241015t131953p09020-A/s2_mask_512.tif;mask_msg=existing_512_mask
emi20241201t080027p06022-A,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20241201t080027p06022-A/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20241201t080027p06022-A/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20241201t080027p06022-A/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20241201t080027p06022-A/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20241201t080027p06022-A/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20241201t080027p06022-A/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20241201t080027p06022-A/s2_mask_512.tif;mask_msg=existing_512_mask
emi20241015t132005p09021-A,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20241015t132005p09021-A/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20241015t132005p09021-A/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20241015t132005p09021-A/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20241015t132005p09021-A/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20241015t132005p09021-A/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20241015t132005p09021-A/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20241015t132005p09021-A/s2_mask_512.tif;mask_msg=existing_512_mask
emi20241118t175750p11005-A,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20241118t175750p11005-A/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20241118t175750p11005-A/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20241118t175750p11005-A/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20241118t175750p11005-A/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20241118t175750p11005-A/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20241118t175750p11005-A/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20241118t175750p11005-A/s2_mask_512.tif;mask_msg=existing_512_mask
emi20241018t184113p12011-A,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20241018t184113p12011-A/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20241018t184113p12011-A/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20241018t184113p12011-A/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20241018t184113p12011-A/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20241018t184113p12011-A/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20241018t184113p12011-A/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20241018t184113p12011-A/s2_mask_512.tif;mask_msg=existing_512_mask
emi20241018t092617p06021-B,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20241018t092617p06021-B/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20241018t092617p06021-B/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20241018t092617p06021-B/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20241018t092617p06021-B/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20241018t092617p06021-B/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20241018t092617p06021-B/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20241018t092617p06021-B/s2_mask_512.tif;mask_msg=existing_512_mask
emi20241215t185538p12008-A,pos_insufficient:0/16;neg_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20241215t185538p12008-A/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20241215t185538p12008-A/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20241215t185538p12008-A/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20241215t185538p12008-A/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20241215t185538p12008-A/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20241215t185538p12008-A/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20241215t185538p12008-A/s2_mask_512.tif;mask_msg=existing_512_mask
emi20250128t094546p07030-A,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20250128t094546p07030-A/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20250128t094546p07030-A/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20250128t094546p07030-A/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20250128t094546p07030-A/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20250128t094546p07030-A/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20250128t094546p07030-A/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20250128t094546p07030-A/s2_mask_512.tif;mask_msg=existing_512_mask
emi20250608t011656p01007-A,pos_insufficient:0/16;rawvals:t0=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/t0/emi20250608t011656p01007-A/s2.tif|prev1=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev1/emi20250608t011656p01007-A/s2_-7.tif|prev2=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev2/emi20250608t011656p01007-A/s2_prev2.tif|prev3=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/prev3/emi20250608t011656p01007-A/s2_prev3.tif|seasonal=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/seasonal/emi20250608t011656p01007-A/s2_-90.tif|year=/mnt/engg-niulab/yuyao/sensors_raw_data/S2_point_center_exact_v3/year/emi20250608t011656p01007-A/s2_-360.tif;mask512=/diniuvol/yuyao/s2_exact_point_masks_v3/emi20250608t011656p01007-A/s2_mask_512.tif;mask_msg=existing_512_mask
